ReviewID,EmployeeID,ReviewYear,ReviewDate,PerformanceRating,PerformanceScore,GoalAchievementPct,ManagerFeedback,SalaryIncreaseRecommended_Pct,PromotionRecommended,Department,Region,JobGrade,ReviewerID,SourceSystem,LoadDate
PERF-EMP-01041-2022,EMP-01041,2022,2022-12-15,Exceeds Expectations,4,91.4,Needs to improve stakeholder communication.,0.05,No,Treasury,North America,G2,EMP-00844,Workday,2024-12-31
PERF-EMP-01041-2023,EMP-01041,2023,2023-12-15,Meets Expectations,3,119.1,"Strong contributor, consistently delivers.",0.099,No,Treasury,North America,G2,EMP-00844,Workday,2024-12-31
PERF-EMP-01041-2024,EMP-01041,2024,2024-12-15,Meets Expectations,3,88.2,"Strong contributor, consistently delivers.",0.071,Yes,Treasury,North America,G2,EMP-00844,Workday,2024-12-31
PERF-EMP-01168-2022,EMP-01168,2022,2022-12-15,Needs Improvement,2,78.4,"Exceptional year, exceeded all targets.",0.087,No,Human Resources,Middle East & Africa,G6,EMP-00030,Workday,2024-12-31
PERF-EMP-01168-2024,EMP-01168,2024,2024-12-15,Meets Expectations,3,61.5,Needs to improve stakeholder communication.,0.072,Yes,Human Resources,Middle East & Africa,G6,EMP-00030,Workday,2024-12-31
PERF-EMP-03173-2023,EMP-03173,2023,2023-12-15,Needs Improvement,2,79.2,Needs to improve stakeholder communication.,0.039,No,Investment Banking,North America,G4,EMP-00557,Workday,2024-12-31
PERF-EMP-03173-2024,EMP-03173,2024,2024-12-15,Exceeds Expectations,4,109.8,Needs to improve stakeholder communication.,0.112,No,Investment Banking,North America,G4,EMP-00557,Workday,2024-12-31
PERF-EMP-04694-2022,EMP-04694,2022,2022-12-15,Needs Improvement,2,82.2,"Exceptional year, exceeded all targets.",0.089,No,Finance,Asia Pacific,G1,EMP-02987,Workday,2024-12-31
PERF-EMP-04694-2023,EMP-04694,2023,2023-12-15,Meets Expectations,3,96.3,Meets expectations across all KPIs.,0.013,No,Finance,Asia Pacific,G1,EMP-02987,Workday,2024-12-31
PERF-EMP-04694-2024,EMP-04694,2024,2024-12-15,Exceeds Expectations,4,114.6,Meets expectations across all KPIs.,0.018,No,Finance,Asia Pacific,G1,EMP-02987,Workday,2024-12-31
PERF-EMP-06696-2022,EMP-06696,2022,2022-12-15,Meets Expectations,3,84.7,Needs to improve stakeholder communication.,0.073,No,Treasury,Europe,G5,EMP-03665,Workday,2024-12-31
PERF-EMP-06696-2023,EMP-06696,2023,2023-12-15,Meets Expectations,3,60.7,Needs to improve stakeholder communication.,0.042,Yes,Treasury,Europe,G5,EMP-03665,Workday,2024-12-31
PERF-EMP-06696-2024,EMP-06696,2024,2024-12-15,Exceeds Expectations,4,88.4,Development needed in technical skills.,0.079,No,Treasury,Europe,G5,EMP-03665,Workday,2024-12-31
PERF-EMP-08940-2022,EMP-08940,2022,2022-12-15,Meets Expectations,3,81.8,"Strong contributor, consistently delivers.",0.086,No,Risk & Compliance,North America,G6,EMP-05705,Workday,2024-12-31
PERF-EMP-08940-2023,EMP-08940,2023,2023-12-15,Meets Expectations,3,97.3,"Exceptional year, exceeded all targets.",0.014,No,Risk & Compliance,North America,G6,EMP-05705,Workday,2024-12-31
PERF-EMP-08940-2024,EMP-08940,2024,2024-12-15,Needs Improvement,2,98.8,"Exceptional year, exceeded all targets.",0.1,No,Risk & Compliance,North America,G6,EMP-05705,Workday,2024-12-31
PERF-EMP-00287-2022,EMP-00287,2022,2022-12-15,Meets Expectations,3,70.8,"Strong contributor, consistently delivers.",0.084,No,Corporate Strategy,Europe,G7,EMP-00243,Workday,2024-12-31
PERF-EMP-00287-2023,EMP-00287,2023,2023-12-15,Needs Improvement,2,89.7,Meets expectations across all KPIs.,0.067,No,Corporate Strategy,Europe,G7,EMP-00243,Workday,2024-12-31
PERF-EMP-00287-2024,EMP-00287,2024,2024-12-15,Meets Expectations,3,82.6,Meets expectations across all KPIs.,0.037,No,Corporate Strategy,Europe,G7,EMP-00243,Workday,2024-12-31
PERF-EMP-00623-2023,EMP-00623,2023,2023-12-15,Meets Expectations,3,113.8,Development needed in technical skills.,0.109,No,Corporate Strategy,Europe,G4,EMP-00087,Workday,2024-12-31
PERF-EMP-09399-2022,EMP-09399,2022,2022-12-15,Needs Improvement,2,114.6,"Exceptional year, exceeded all targets.",0.083,No,Operations,Asia Pacific,G1,EMP-07141,Workday,2024-12-31
PERF-EMP-09399-2024,EMP-09399,2024,2024-12-15,Exceeds Expectations,4,76.3,Meets expectations across all KPIs.,0.041,No,Operations,Asia Pacific,G1,EMP-07141,Workday,2024-12-31
PERF-EMP-04206-2022,EMP-04206,2022,2022-12-15,Unsatisfactory,1,71.5,Meets expectations across all KPIs.,0.103,No,Investment Banking,Europe,G3,EMP-01194,Workday,2024-12-31
PERF-EMP-04206-2023,EMP-04206,2023,2023-12-15,Needs Improvement,2,89.8,Needs to improve stakeholder communication.,0.094,No,Investment Banking,Europe,G3,EMP-01194,Workday,2024-12-31
PERF-EMP-04206-2024,EMP-04206,2024,2024-12-15,Exceeds Expectations,4,96.9,"Strong contributor, consistently delivers.",0.053,No,Investment Banking,Europe,G3,EMP-01194,Workday,2024-12-31
PERF-EMP-00080-2022,EMP-00080,2022,2022-12-15,Needs Improvement,2,101.7,Development needed in technical skills.,0.113,No,Retail Banking,Europe,G5,EMP-00020,Workday,2024-12-31
PERF-EMP-00080-2023,EMP-00080,2023,2023-12-15,Exceeds Expectations,4,66.1,Meets expectations across all KPIs.,0.0,No,Retail Banking,Europe,G5,EMP-00020,Workday,2024-12-31
PERF-EMP-00080-2024,EMP-00080,2024,2024-12-15,Exceeds Expectations,4,109.8,"Strong contributor, consistently delivers.",0.068,No,Retail Banking,Europe,G5,EMP-00020,Workday,2024-12-31
PERF-EMP-06588-2022,EMP-06588,2022,2022-12-15,Meets Expectations,3,109.7,"Exceptional year, exceeded all targets.",0.009,No,Investment Banking,Middle East & Africa,G3,EMP-05724,Workday,2024-12-31
PERF-EMP-06588-2023,EMP-06588,2023,2023-12-15,Needs Improvement,2,102.4,"Strong contributor, consistently delivers.",0.069,No,Investment Banking,Middle East & Africa,G3,EMP-05724,Workday,2024-12-31
PERF-EMP-03351-2023,EMP-03351,2023,2023-12-15,Needs Improvement,2,106.7,Needs to improve stakeholder communication.,0.07,No,Legal,Asia Pacific,G9,EMP-01149,Workday,2024-12-31
PERF-EMP-04514-2023,EMP-04514,2023,2023-12-15,Meets Expectations,3,65.7,Needs to improve stakeholder communication.,0.098,No,Human Resources,Europe,G8,EMP-00499,Workday,2024-12-31
PERF-EMP-04514-2024,EMP-04514,2024,2024-12-15,Exceeds Expectations,4,108.7,"Exceptional year, exceeded all targets.",0.071,No,Human Resources,Europe,G8,EMP-00499,Workday,2024-12-31
PERF-EMP-05846-2022,EMP-05846,2022,2022-12-15,Exceptional,5,100.4,Development needed in technical skills.,0.069,No,Data & Analytics,Asia Pacific,G7,EMP-03826,Workday,2024-12-31
PERF-EMP-05846-2023,EMP-05846,2023,2023-12-15,Exceeds Expectations,4,67.2,Needs to improve stakeholder communication.,0.097,No,Data & Analytics,Asia Pacific,G7,EMP-03826,Workday,2024-12-31
PERF-EMP-05846-2024,EMP-05846,2024,2024-12-15,Meets Expectations,3,102.0,Development needed in technical skills.,0.011,No,Data & Analytics,Asia Pacific,G7,EMP-03826,Workday,2024-12-31
PERF-EMP-05553-2023,EMP-05553,2023,2023-12-15,Meets Expectations,3,79.1,Needs to improve stakeholder communication.,0.1,No,Corporate Strategy,Asia Pacific,G1,EMP-00607,Workday,2024-12-31
PERF-EMP-05553-2024,EMP-05553,2024,2024-12-15,Exceeds Expectations,4,64.0,Needs to improve stakeholder communication.,0.093,No,Corporate Strategy,Asia Pacific,G1,EMP-00607,Workday,2024-12-31
PERF-EMP-03310-2022,EMP-03310,2022,2022-12-15,Unsatisfactory,1,82.3,Meets expectations across all KPIs.,0.116,No,Finance,North America,G4,EMP-00881,Workday,2024-12-31
